노선,지사,터널명,이정,연장,차로수,종별,상태등급,준공일자,행정구역
동해선,강릉지사,근덕터널(삼척),1,2558,2,1종,A,2016-12-20,강원특별자치도 삼척시 근덕면 상맹방리
동해선,강릉지사,근덕터널(속초),1,2473,2,1종,A,2016-12-20,강원특별자치도 삼척시 근덕면 상맹방리
동해선,강릉지사,적노터널(속초),4,542,2,2종,A,2016-12-20,강원특별자치도 삼척시 적노동 
동해선,강릉지사,적노터널(삼척),4,487,2,2종,A,2016-12-20,강원특별자치도 삼척시 적노동 
동해선,강릉지사,사직터널(삼척),5,302,2,2종,B,2016-12-20,강원특별자치도 삼척시 사직동 
동해선,강릉지사,사직터널(속초),5,237,2,2종,B,2016-12-20,강원특별자치도 삼척시 사직동 
동해선,강릉지사,남양터널(속초),5,327,2,2종,A,2016-12-20,강원특별자치도 삼척시 남양동 
동해선,강릉지사,남양터널(삼척),5,380,2,2종,B,2016-12-20,강원특별자치도 삼척시 남양동 
동해선,강릉지사,지가터널(속초),13,507,2,2종,B,2016-12-20,강원특별자치도 동해시 지가동 
동해선,강릉지사,지가터널(삼척),13,490,2,2종,B,2016-12-20,강원특별자치도 동해시 지가동 
동해선,강릉지사,귀운터널(속초),14,305,2,2종,B,2016-12-20,강원특별자치도 동해시 귀운동 
동해선,강릉지사,귀운터널(삼척),14,290,2,2종,B,2016-12-20,강원특별자치도 동해시 귀운동 
동해선,강릉지사,동해터널(속초),20,300,2,2종,B,2004-12-21,강원특별자치도 동해시 평릉동 
동해선,강릉지사,동해터널(삼척),20,300,2,2종,B,2004-12-21,강원특별자치도 동해시 평릉동 
동해선,강릉지사,강릉1터널(삼척),36,535,2,2종,B,2004-12-21,강원특별자치도 강릉시 옥계면 낙풍리
동해선,강릉지사,강릉1터널(속초),36,450,3,1종,B,2004-12-21,강원특별자치도 강릉시 옥계면 낙풍리
동해선,강릉지사,강릉2터널(속초),40,210,2,2종,B,2004-12-21,강원특별자치도 강릉시 강동면 산성우리
동해선,강릉지사,강릉2터널(삼척),40,210,2,2종,B,2004-12-21,강원특별자치도 강릉시 강동면 산성우리
동해선,강릉지사,강릉3터널(속초),41,140,2,2종,B,2004-12-21,강원특별자치도 강릉시 강동면 산성우리
동해선,강릉지사,강릉3터널(삼척),41,140,2,2종,B,2004-12-21,강원특별자치도 강릉시 강동면 산성우리
동해선,강릉지사,강릉4터널(속초),42,960,2,2종,A,2004-12-21,강원특별자치도 강릉시 강동면 산성우리
동해선,강릉지사,강릉4터널(삼척),42,960,2,2종,B,2004-12-21,강원특별자치도 강릉시 강동면 산성우리
동해선,강릉지사,강릉5터널(속초),44,2075,2,1종,B,2004-12-21,강원특별자치도 강릉시 강동면 임곡리
동해선,강릉지사,강릉5터널(삼척),44,2095,2,1종,B,2004-12-21,강원특별자치도 강릉시 강동면 임곡리
동해선,강릉지사,현남터널(속초),87,958,2,2종,A,2009-12-25,강원특별자치도 양양군 현남면 정자리
동해선,강릉지사,현남터널(삼척),87,971,2,2종,A,2009-12-25,강원특별자치도 양양군 현남면 정자리
동해선,강릉지사,현북터널(속초),88,543,2,2종,B,2009-12-25,강원특별자치도 양양군 현북면 잔교리
동해선,강릉지사,현북터널(삼척),88,550,2,2종,A,2009-12-25,강원특별자치도 양양군 현북면 잔교리
서울양양선,양양지사,내촌3터널(양양),97,154,2,2종,A,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,내촌3터널(서울),97,162,2,2종,A,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,내촌4터널(서울),97,358,2,2종,A,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,내촌4터널(양양),97,364,2,2종,B,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,내촌5터널(양양),98,205,2,2종,A,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,내촌5터널(서울),98,207,2,2종,B,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,서석터널(양양),99,3061,2,1종,B,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,서석터널(서울),99,2997,2,1종,A,2017-07-10,강원특별자치도 홍천군 내촌면 물걸리
서울양양선,양양지사,행치령터널(서울),102,1397,2,1종,A,2017-07-10,강원특별자치도 홍천군 서석면 수하리
서울양양선,양양지사,행치령터널(양양),102,1422,2,1종,B,2017-07-10,강원특별자치도 홍천군 서석면 수하리
서울양양선,양양지사,상남2터널(양양),105,115,2,2종,A,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남2터널(서울),105,115,2,2종,A,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남3터널(양양),107,1719,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남3터널(서울),107,1695,2,1종,B,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남4터널(양양),109,1434,2,1종,B,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남4터널(서울),109,1427,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남5터널(서울),111,1825,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남5터널(양양),111,1773,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 상남리
서울양양선,양양지사,상남6터널(서울),113,1821,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 하남리
서울양양선,양양지사,상남6터널(양양),113,1816,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 하남리
서울양양선,양양지사,상남7터널(양양),116,2287,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 하남리
서울양양선,양양지사,상남7터널(서울),116,2257,2,1종,A,2017-07-10,강원특별자치도 인제군 상남면 하남리
서울양양선,양양지사,기린1터널(양양),120,114,2,2종,A,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린1터널(서울),120,118,2,2종,A,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린2터널(서울),120,431,2,2종,B,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린2터널(양양),120,397,2,2종,B,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린3터널(양양),121,162,2,2종,B,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린3터널(서울),121,146,2,2종,B,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린4터널(양양),121,750,2,2종,B,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린4터널(서울),121,727,2,2종,A,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린5터널(양양),122,1148,2,1종,A,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린5터널(서울),122,1148,2,1종,A,2017-07-10,강원특별자치도 인제군 기린면 현리
서울양양선,양양지사,기린6터널(양양),125,2665,2,1종,A,2017-07-10,강원특별자치도 인제군 기린면 방동리
서울양양선,양양지사,기린6터널(서울),125,2666,2,1종,A,2017-07-10,강원특별자치도 인제군 기린면 방동리
서울양양선,양양지사,인제양양터널(양양),128,10962,2,1종,A,2017-07-10,강원특별자치도 인제군 기린면 진동리
서울양양선,양양지사,인제양양터널(서울),128,10965,2,1종,B,2017-07-10,강원특별자치도 인제군 기린면 진동리
서울양양선,양양지사,서면1터널(서울),139,110,2,2종,A,2017-07-10,강원특별자치도 양양군 서면 서림리
서울양양선,양양지사,서면2터널(양양),140,248,2,2종,B,2017-07-10,강원특별자치도 양양군 서면 서림리
서울양양선,양양지사,서면2터널(서울),140,212,2,2종,B,2017-07-10,강원특별자치도 양양군 서면 서림리
서울양양선,양양지사,서면3터널(양양),142,212,2,2종,A,2017-07-10,강원특별자치도 양양군 서면 영덕리
서울양양선,양양지사,서면3터널(서울),142,212,2,2종,A,2017-07-10,강원특별자치도 양양군 서면 영덕리
서울양양선,양양지사,서면4터널(양양),143,117,2,2종,B,2017-07-10,강원특별자치도 양양군 서면 영덕리
서울양양선,양양지사,서면5터널(양양),144,1311,2,1종,A,2017-07-10,강원특별자치도 양양군 서면 영덕리
서울양양선,양양지사,서면5터널(서울),144,1311,2,1종,A,2017-07-10,강원특별자치도 양양군 서면 영덕리
서울양양선,양양지사,서면6터널(양양),146,2968,2,1종,A,2017-07-10,강원특별자치도 양양군 서면 용소리
서울양양선,양양지사,서면6터널(서울),146,2917,2,1종,A,2017-07-10,강원특별자치도 양양군 서면 용소리
서울양양선,양양지사,서면7터널(서울),149,773,2,2종,A,2017-07-10,강원특별자치도 양양군 서면 수리
서울양양선,양양지사,서면7터널(양양),149,748,2,2종,A,2017-07-10,강원특별자치도 양양군 서면 수리
동해선,양양지사,양양1터널(삼척),106,531,2,2종,B,2016-12-20,강원특별자치도 양양군 양양읍 거마리
동해선,양양지사,양양1터널(속초),106,482,2,2종,B,2016-12-20,강원특별자치도 양양군 양양읍 거마리
동해선,양양지사,양양2터널(속초),107,887,2,2종,B,2016-12-20,강원특별자치도 양양군 양양읍 화일리
동해선,양양지사,양양2터널(삼척),107,874,2,2종,B,2016-12-20,강원특별자치도 양양군 양양읍 화일리
동해선,양양지사,강현1터널(속초),110,140,2,2종,A,2016-12-20,강원특별자치도 양양군 강현면 석교리
동해선,양양지사,강현1터널(삼척),110,140,2,2종,B,2016-12-20,강원특별자치도 양양군 강현면 석교리
동해선,양양지사,청대터널(속초),116,1532,2,1종,B,2016-12-20,강원특별자치도 속초시 도문동 
동해선,양양지사,청대터널(삼척),116,1570,2,1종,B,2016-12-20,강원특별자치도 속초시 도문동 
당진청주선,천안지사,염치2터널(청주),24,440,2,2종,A,2023-12-15,충청남도 아산시 염치읍 염성리
당진청주선,천안지사,염치2터널(당진),24,433,2,2종,A,2023-12-15,충청남도 아산시 염치읍 염성리
당진청주선,천안지사,현충사지하차도,29,60,4,기타,A,2023-12-15,충청남도 아산시 염치읍 백암리
당진청주선,천안지사,배방터널(당진),37,314,2,2종,A,2023-12-15,충청남도 아산시 배방읍 세교리
당진청주선,천안지사,배방터널(청주),37,314,2,2종,A,2023-12-15,충청남도 아산시 배방읍 세교리
당진청주선,천안지사,풍세1터널(당진),38,505,2,2종,A,2023-12-15,충청남도 천안시 동남구 풍세면 남관리
당진청주선,천안지사,풍세1터널(청주),38,505,2,2종,A,2023-12-15,충청남도 천안시 동남구 풍세면 남관리
당진청주선,천안지사,풍세2터널(청주),39,295,3,1종,A,2023-12-15,충청남도 천안시 동남구 풍세면 남관리
당진청주선,천안지사,풍세2터널(당진),39,302,3,1종,A,2023-12-15,충청남도 천안시 동남구 풍세면 남관리
당진청주선,천안지사,동남터널(청주),42,335,2,2종,A,2023-12-15,충청남도 천안시 동남구 구룡동 
당진청주선,천안지사,동남터널(당진),42,335,2,2종,A,2023-12-15,충청남도 천안시 동남구 구룡동 
서해안선,당진지사,운산터널(서울),244,80,2,2종,B,2001-11-20,충청남도 서산시 운산면 신창리
서해안선,당진지사,운산터널(목포),244,80,2,2종,B,2001-11-20,충청남도 서산시 운산면 신창리
서산영덕선(당진대전선),공주지사,대흥터널(당진),30,562,2,2종,A,2009-08-28,충청남도 예산군 대흥면 지곡리
서산영덕선(당진대전선),공주지사,대흥터널(대전),30,556,2,2종,A,2009-08-28,충청남도 예산군 대흥면 손지리
서산영덕선(당진대전선),공주지사,차동터널(당진),42,315,2,2종,A,2009-08-28,충청남도 공주시 유구읍 녹천리
서산영덕선(당진대전선),공주지사,차동터널(대전),42,363,2,2종,A,2009-08-28,충청남도 예산군 신양면 차동리
서산영덕선(당진대전선),공주지사,신영터널(대전),44,686,2,2종,A,2009-08-28,충청남도 공주시 유구읍 녹천리
서산영덕선(당진대전선),공주지사,신영터널(당진),44,680,2,2종,A,2009-08-28,충청남도 공주시 유구읍 신영리
서산영덕선(당진대전선),공주지사,화흥터널(당진),49,305,2,2종,A,2009-08-28,충청남도 공주시 신풍면 화흥리
서산영덕선(당진대전선),공주지사,화흥터널(대전),49,305,2,2종,A,2009-08-28,충청남도 공주시 유구읍 유구리
서산영덕선(당진대전선),공주지사,해월터널(대전),55,470,2,2종,A,2009-08-28,충청남도 공주시 사곡면 해월리
서산영덕선(당진대전선),공주지사,해월터널(당진),55,420,2,2종,A,2009-08-28,충청남도 공주시 사곡면 호계리
서산영덕선(당진대전선),공주지사,호계터널(대전),56,580,2,2종,A,2009-08-28,충청남도 공주시 사곡면 호계리
서산영덕선(당진대전선),공주지사,호계터널(당진),56,575,2,2종,A,2009-08-28,충청남도 공주시 사곡면 호계리
서산영덕선(당진대전선),공주지사,유성터널(대전),90,315,2,2종,B,2009-08-28,대전광역시 유성구 반석동 
서산영덕선(당진대전선),공주지사,유성터널(당진),90,315,2,2종,A,2009-08-28,대전광역시 유성구 하기동 
서천공주선,부여지사,서천터널(공주),5,573,2,2종,B,2009-08-28,충청남도 서천군 기산면 황사리
서천공주선,부여지사,서천터널(서천),5,573,2,2종,B,2009-08-28,충청남도 서천군 기산면 가공리
서천공주선,부여지사,가덕터널(공주),16,373,2,2종,B,2009-08-28,충청남도 서천군 마산면 나궁리
서천공주선,부여지사,가덕터널(서천),16,373,2,2종,B,2009-08-28,충청남도 부여군 옥산면 가덕리
서천공주선,부여지사,부여2터널(공주),17,250,2,2종,A,2009-08-28,충청남도 부여군 옥산면 가덕리
서천공주선,부여지사,부여2터널(서천),17,250,2,2종,A,2009-08-28,충청남도 부여군 남면 금천리
서천공주선,부여지사,부여1터널(공주),34,181,2,2종,A,2009-08-28,충청남도 부여군 은산면 신대리
서천공주선,부여지사,부여1터널(서천),34,181,2,2종,A,2009-08-28,충청남도 부여군 규암면 신성리
서천공주선,부여지사,앵봉터널(공주),46,760,2,2종,A,2009-08-29,충청남도 청양군 청남면 내직리
서천공주선,부여지사,앵봉터널(서천),46,760,2,2종,A,2009-08-29,충청남도 청양군 목면 화양리
경부선,대전지사,대전터널(서울),270,812,3,1종,B,1999-11-15,대전광역시 동구 비룡동 
경부선,대전지사,대전터널(부산),270,796,3,1종,B,1999-11-15,대전광역시 대덕구 비래동 
경부선,영동지사,황간터널(서울),219,624,3,1종,B,2006-12-06,충청북도 영동군 추풍령면 계룡리
경부선,영동지사,황간터널(부산),219,613,3,1종,A,2006-12-06,충청북도 영동군 황간면 광평리
경부선,영동지사,영동3터널(부산),238,587,3,1종,B,2015-12-22,충청북도 영동군 용산면 가곡리
경부선,영동지사,영동3터널(서울),238,484,3,1종,B,2015-12-22,충청북도 영동군 용산면 금곡리
경부선,영동지사,영동2터널(서울),239,574,3,1종,B,2015-12-22,충청북도 영동군 용산면 가곡리
경부선,영동지사,영동2터널(부산),239,654,3,1종,B,2015-12-22,충청북도 영동군 용산면 부상리
경부선,영동지사,영동1터널(서울),243,578,2,1종,B,2003-05-02,충청북도 영동군 용산면 부상리
경부선,영동지사,영동1터널(부산),243,618,2,1종,B,2003-05-02,충청북도 영동군 심천면 길현리
경부선,영동지사,옥천4터널(부산),244,868,2,1종,B,2003-05-02,충청북도 옥천군 청성면 묘금리
경부선,영동지사,옥천4터널(서울),244,873,2,1종,B,2003-05-02,충청북도 옥천군 청성면 묘금리
경부선,영동지사,옥천3터널(서울),246,1593,2,1종,B,2003-05-02,충청북도 옥천군 청성면 묘금리
경부선,영동지사,옥천3터널(부산),246,1613,2,1종,B,2003-05-02,충청북도 옥천군 청성면 고당리
경부선,영동지사,옥천2터널(서울),247,212,2,1종,B,2003-05-02,충청북도 옥천군 동이면 조령리
경부선,영동지사,옥천2터널(부산),247,210,2,1종,B,2003-05-02,충청북도 옥천군 동이면 조령리
경부선,영동지사,옥천1터널(서울),251,690,2,1종,B,2003-05-02,충청북도 옥천군 동이면 적하리
경부선,영동지사,옥천1터널(부산),251,681,2,1종,B,2003-05-02,충청북도 옥천군 동이면 적하리
경부선,영동지사,삼양터널(부산),259,336,3,1종,A,2005-12-22,충청북도 옥천군 옥천읍 서정리
경부선,영동지사,삼양터널(서울),259,361,3,1종,A,2005-12-22,충청북도 옥천군 옥천읍 문정리
경부선,영동지사,증약터널(서울),265,755,3,1종,A,1999-11-30,충청북도 옥천군 군북면 증약리
경부선,영동지사,증약터널(부산),265,755,3,1종,A,1999-11-30,대전광역시 동구 신상동 
대전남부순환선,영동지사,구봉터널(산내),3,786,2,2종,B,2000-12-23,대전광역시 서구 관저동 
대전남부순환선,영동지사,구봉터널(서대전),3,795,2,2종,A,2000-12-23,대전광역시 서구 괴곡동 
대전남부순환선,영동지사,TEST(서대전),3,795,2,2종,,2000-12-23,대전광역시 서구 괴곡동 
대전남부순환선,영동지사,안영1터널(서대전),4,738,2,2종,B,2000-12-23,대전광역시 중구 안영동 
대전남부순환선,영동지사,안영1터널(산내),4,718,2,2종,A,2000-12-23,대전광역시 서구 괴곡동 
대전남부순환선,영동지사,안영2터널(산내),6,600,2,2종,B,2000-12-23,대전광역시 중구 안영동 
대전남부순환선,영동지사,안영2터널(서대전),6,600,2,2종,B,2000-12-23,대전광역시 중구 침산동 
대전남부순환선,영동지사,구완터널(산내),11,622,2,2종,A,2000-12-23,대전광역시 중구 구완동 
대전남부순환선,영동지사,구완터널(서대전),11,622,2,2종,A,2000-12-23,대전광역시 동구 이사동 
완주장수선,진안지사,소양1터널(장수),20,745,3,1종,B,2007-12-22,전북특별자치도 완주군 소양면 화심리
완주장수선,진안지사,소양1터널(익산),20,705,2,2종,B,2007-12-22,전북특별자치도 완주군 소양면 해월리
완주장수선,진안지사,소양2터널(장수),23,360,3,1종,B,2007-12-22,전북특별자치도 완주군 상관면 의암리
완주장수선,진안지사,소양2터널(익산),23,195,2,2종,B,2007-12-22,전북특별자치도 완주군 소양면 화심리
완주장수선,진안지사,상관1터널(장수),23,125,3,1종,B,2007-12-22,전북특별자치도 완주군 상관면 의암리
완주장수선,진안지사,상관1터널(익산),23,130,2,2종,B,2007-12-22,전북특별자치도 완주군 상관면 의암리
완주장수선,진안지사,상관2터널(장수),26,336,3,1종,B,2007-12-22,전북특별자치도 완주군 소양면 신촌리
완주장수선,진안지사,상관2터널(익산),26,356,2,2종,B,2007-12-22,전북특별자치도 완주군 상관면 의암리
완주장수선,진안지사,곰티터널(장수),27,2307,2,1종,B,2007-12-22,전북특별자치도 진안군 부귀면 세동리
완주장수선,진안지사,곰티터널(익산),27,2281,2,1종,B,2007-12-22,전북특별자치도 완주군 소양면 신촌리
완주장수선,진안지사,부귀1터널(장수),31,675,2,2종,B,2007-12-22,전북특별자치도 진안군 부귀면 신정리
완주장수선,진안지사,부귀1터널(익산),31,698,2,2종,B,2007-12-22,전북특별자치도 진안군 부귀면 세동리
완주장수선,진안지사,부귀2터널(장수),31,810,2,2종,B,2007-12-22,전북특별자치도 진안군 마령면 덕천리
완주장수선,진안지사,부귀2터널(익산),31,810,2,2종,B,2007-12-22,전북특별자치도 진안군 부귀면 신정리
완주장수선,진안지사,진안1터널(장수),39,283,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 연장리
완주장수선,진안지사,진안1터널(익산),39,239,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 연장리
완주장수선,진안지사,진안2터널(장수),40,690,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 단양리
완주장수선,진안지사,진안2터널(익산),40,678,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 정곡리
완주장수선,진안지사,진안3터널(장수),47,437,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 죽산리
완주장수선,진안지사,진안3터널(익산),47,442,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 물곡리
완주장수선,진안지사,방곡터널(장수),51,928,2,2종,B,2007-12-22,전북특별자치도 장수군 천천면 춘송리
완주장수선,진안지사,방곡터널(익산),51,928,2,2종,B,2007-12-22,전북특별자치도 진안군 진안읍 오천리
완주장수선,진안지사,장수터널(장수),54,2700,2,1종,B,2007-12-22,전북특별자치도 장수군 계남면 침곡리
완주장수선,진안지사,장수터널(익산),54,2676,2,1종,B,2007-12-22,전북특별자치도 장수군 천천면 춘송리
순천완주선,진안지사,관촌1터널(순천),90,469,2,2종,B,2010-12-30,전북특별자치도 임실군 관촌면 덕천리
순천완주선,진안지사,관촌1터널(완주),90,492,2,2종,B,2010-12-30,전북특별자치도 임실군 관촌면 덕천리
순천완주선,진안지사,관촌2터널(순천),91,420,2,2종,B,2010-12-30,전북특별자치도 임실군 관촌면 덕천리
순천완주선,진안지사,관촌2터널(완주),91,401,2,2종,B,2010-12-30,전북특별자치도 임실군 관촌면 덕천리
순천완주선,진안지사,슬치터널(완주),95,1189,2,1종,A,2010-12-30,전북특별자치도 임실군 관촌면 슬치리
순천완주선,진안지사,슬치터널(순천),95,1172,2,1종,A,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암1터널(순천),97,549,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암1터널(완주),97,529,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암2터널(완주),97,551,2,2종,A,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암2터널(순천),97,545,2,2종,A,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암3터널(완주),98,231,2,2종,A,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암3터널(순천),98,232,2,2종,A,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암4터널(순천),99,1125,2,1종,A,2010-12-30,전북특별자치도 완주군 상관면 용암리
순천완주선,진안지사,용암4터널(완주),99,1113,2,1종,A,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,죽림1터널(완주),100,656,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,죽림1터널(순천),100,644,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,죽림2터널(순천),101,235,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,죽림2터널(완주),101,254,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,죽림3터널(순천),101,495,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,죽림3터널(완주),101,499,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,신리1터널(완주),102,171,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 죽림리
순천완주선,진안지사,신리1터널(순천),102,105,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 신리
순천완주선,진안지사,신리2터널(순천),105,885,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 신리
순천완주선,진안지사,신리2터널(완주),105,864,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 신리
순천완주선,진안지사,신리3터널(완주),106,593,2,2종,B,2010-12-30,전북특별자치도 완주군 상관면 신리
순천완주선,진안지사,신리3터널(순천),106,623,2,2종,B,2010-12-30,전북특별자치도 전주시 완산구 색장동
순천완주선,진안지사,완산터널(완주),109,591,2,2종,B,2010-12-30,전북특별자치도 전주시 완산구 색장동
순천완주선,진안지사,완산터널(순천),109,617,2,2종,B,2010-12-30,전북특별자치도 전주시 덕진구 우아동1가
순천완주선,진안지사,덕진1터널(완주),110,1054,2,1종,B,2010-12-30,전북특별자치도 전주시 덕진구 우아동1가
순천완주선,진안지사,덕진1터널(순천),110,1022,2,1종,B,2010-12-30,전북특별자치도 전주시 덕진구 금상동
순천완주선,진안지사,덕진2터널(완주),112,158,2,2종,A,2010-12-30,전북특별자치도 전주시 덕진구 금상동
순천완주선,진안지사,덕진2터널(순천),112,158,2,2종,B,2010-12-30,전북특별자치도 전주시 덕진구 금상동
순천완주선,진안지사,덕진3터널(완주),112,124,2,2종,B,2010-12-30,전북특별자치도 전주시 덕진구 금상동
순천완주선,진안지사,덕진3터널(순천),112,124,2,2종,B,2010-12-30,전북특별자치도 전주시 덕진구 금상동
서해안선,부안지사,대명터널(서울),144,330,2,2종,B,1997-12-29,전북특별자치도 군산시 성산면 대명리
서해안선,부안지사,대명터널(목포),144,330,2,2종,B,1997-12-29,전북특별자치도 군산시 성산면 대명리
통영대전선/중부선,무주지사,육십령터널(하남),128,3170,2,1종,B,2001-12-10,전북특별자치도 장수군 장계면 오동리
통영대전선/중부선,무주지사,육십령터널(통영),128,3170,2,1종,B,2001-12-10,전북특별자치도 장수군 장계면 오동리
통영대전선/중부선,무주지사,오동터널(통영),132,535,3,1종,B,2001-11-29,전북특별자치도 장수군 장계면 오동리
통영대전선/중부선,무주지사,오동터널(하남),132,530,2,2종,B,2001-11-29,전북특별자치도 장수군 장계면 오동리
통영대전선/중부선,무주지사,집재터널(통영),139,408,2,2종,B,2001-11-29,전북특별자치도 장수군 계북면 매계리
통영대전선/중부선,무주지사,집재터널(하남),139,405,3,1종,B,2001-11-29,전북특별자치도 장수군 계북면 매계리
통영대전선/중부선,무주지사,오도재터널(하남),154,1168,2,1종,B,2001-11-29,전북특별자치도 무주군 적상면 삼가리
통영대전선/중부선,무주지사,오도재터널(통영),154,1156,2,1종,B,2001-11-29,전북특별자치도 무주군 적상면 삼가리
통영대전선/중부선,무주지사,적상터널(하남),158,545,2,2종,B,2001-11-29,전북특별자치도 무주군 적상면 삼가리
통영대전선/중부선,무주지사,적상터널(통영),158,545,2,2종,B,2001-11-29,전북특별자치도 무주군 적상면 삼가리
통영대전선/중부선,무주지사,가옥터널(하남),164,640,2,2종,B,2001-11-29,전북특별자치도 무주군 무주읍 가옥리
통영대전선/중부선,무주지사,가옥터널(통영),164,620,2,2종,B,2001-11-29,전북특별자치도 무주군 무주읍 가옥리
통영대전선/중부선,무주지사,마달터널(통영),200,720,3,1종,B,2000-12-11,대전광역시 동구 삼괴동 
통영대전선/중부선,무주지사,마달터널(하남),200,660,2,2종,B,2000-12-11,대전광역시 동구 삼괴동 
서해안선,보령지사,종천터널(서울),163,819,2,2종,B,2001-11-20,충청남도 서천군 종천면 산천리
서해안선,보령지사,종천터널(목포),163,879,2,2종,B,2001-11-20,충청남도 서천군 종천면 당정리
서해안선,보령지사,비인터널(서울),170,776,2,2종,B,2001-11-20,충청남도 서천군 비인면 율리
서해안선,보령지사,비인터널(목포),170,790,2,2종,B,2001-11-20,충청남도 서천군 비인면 성북리
서해안선,보령지사,웅천터널(서울),177,500,2,2종,B,2001-11-20,충청남도 보령시 주산면 증산리
서해안선,보령지사,웅천터널(목포),177,520,2,2종,B,2001-11-20,충청남도 보령시 주산면 증산리
남해선(순천부산),순천지사,서순천IC지하차도,0,54,1,3종,A,2002-10-30,전라남도 순천시 서면 동산리
남해선(순천부산),순천지사,광양터널(순천),18,240,2,2종,B,1992-12-25,전라남도 광양시 광양읍 죽림리
남해선(순천부산),순천지사,광양터널(부산),18,270,2,2종,B,1992-12-25,전라남도 광양시 광양읍 죽림리
논산천안선/호남선,순천지사,순천2터널(천안),5,861,3,1종,B,1996-12-25,전라남도 순천시 승주읍 신성리
논산천안선/호남선,순천지사,순천2터널(순천),5,881,3,1종,B,1996-12-25,전라남도 순천시 승주읍 신성리
논산천안선/호남선,순천지사,순천1터널(천안),15,430,2,2종,B,1996-12-25,전라남도 순천시 승주읍 두월리
논산천안선/호남선,순천지사,순천1터널(순천),15,430,2,2종,A,1996-12-25,전라남도 순천시 승주읍 두월리
논산천안선/호남선,순천지사,석곡터널(순천),30,380,2,2종,B,1996-12-25,전라남도 곡성군 석곡면 석곡리
