노선,지사,터널명,이정,연장,차로수,종별,상태등급,준공일자,행정구역
수도권제2순환선,파주지사,석문령터널(양주),2,1658,2,1종,B,2017-06-29,경기도 포천군 소흘면 송우리
수도권제2순환선,파주지사,석문령터널(서울),3,1670,2,1종,B,2017-06-29,경기도 포천군 소흘면 송우리
수도권제2순환선,파주지사,은현3터널(파주방향),10,329,2,2종,,2024-12-20,경기도 양주군 은현면 용암리
수도권제2순환선,파주지사,은현3터널(양주방향),10,376,3,1종,,2024-12-20,경기도 양주군 은현면 용암리
수도권제2순환선,파주지사,은현2터널(파주),12,674,2,2종,,2024-12-20,경기도 양주시 은현면 도하리
수도권제2순환선,파주지사,은현2터널(양주),12,672,2,2종,,2024-12-20,경기도 양주시 은현면 도하리
수도권제2순환선,파주지사,은현1터널(양주),13,374,2,2종,,2024-12-20,경기도 양주시 은현면 도하리
수도권제2순환선,파주지사,은현1터널(파주),13,376,2,2종,,2024-12-20,경기도 양주시 은현면 도하리
수도권제2순환선,파주지사,광적2터널(양주),18,417,2,2종,,2024-12-20,경기도 양주시 광적면 덕도리
수도권제2순환선,파주지사,광적2터널(파주),18,433,2,2종,,2024-12-20,경기도 양주시 광적면 덕도리
수도권제2순환선,파주지사,광적1터널(파주),19,4591,2,1종,,2024-12-20,경기도 양주시 광적면 덕도리
수도권제2순환선,파주지사,광적1터널(양주),19,4560,2,1종,,2024-12-20,경기도 파주시 법원읍 삼방리
수도권제2순환선,파주지사,법원터널(양주),24,317,2,2종,,2024-12-20,경기도 파주시 법원읍 삼방리
수도권제2순환선,파주지사,법원터널(파주),24,318,2,2종,,2024-12-20,경기도 파주시 법원읍 삼방리
수도권제2순환선,파주지사,애룡터널(양주),27,552,2,2종,,2024-12-20,경기도 파주군 파주읍 연풍리
수도권제2순환선,파주지사,애룡터널(파주),28,522,2,2종,,2024-12-20,경기도 파주군 파주읍 연풍리
수도권제2순환선,파주지사,파주2터널(양주),29,388,2,2종,,2024-12-20,경기도 파주군 파주읍 연풍리
수도권제2순환선,파주지사,파주2터널(파주),29,390,2,2종,,2024-12-20,경기도 파주군 파주읍 연풍리
수도권제2순환선,파주지사,파주1터널(양주),29,432,2,2종,,2024-12-20,경기도 파주군 파주읍 부곡리
수도권제2순환선,파주지사,파주1터널(파주),30,452,2,2종,,2024-12-20,경기도 파주군 파주읍 부곡리
